portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,1226293,OGN-USD,SELL,2021-05-28T21:03:34.517Z,1772.28000000,OGN,0.957,8.4803598,1687.5916002,USD
default,1612330,AMP-USD,BUY,2021-06-16T19:07:42.799Z,15846.00000000,AMP,0.09874,3.12926808,-1567.76330808,USD
default,1613239,AMP-USD,SELL,2021-06-16T19:09:36.346Z,15846.00000000,AMP,0.0975,3.08997,1541.89503,USD
default,1688677,CRV-USD,BUY,2021-06-03T12:50:38.644Z,37.11000000,CRV,2.4916,0.23115819,-92.69443419,USD
default,1688678,CRV-USD,BUY,2021-06-03T12:50:38.644Z,180.00000000,CRV,2.4917,1.121265,-449.627265,USD
default,1688679,CRV-USD,BUY,2021-06-03T12:50:38.644Z,59.26000000,CRV,2.492,0.3691898,-148.0451098,USD
default,1689889,CRV-USD,SELL,2021-06-03T13:43:54.843Z,150.00000000,CRV,2.4505,0.9189375,366.6560625,USD
default,1689890,CRV-USD,SELL,2021-06-03T13:43:54.843Z,41.30000000,CRV,2.4504,0.2530038,100.9485162,USD
default,1689891,CRV-USD,SELL,2021-06-03T13:43:54.843Z,85.07000000,CRV,2.4504,0.52113882,207.93438918,USD
default,1854523,AMP-USD,BUY,2021-06-17T12:19:00.870Z,2518.00000000,AMP,0.10517,0.52963612,-265.34769612,USD
default,1854524,AMP-USD,BUY,2021-06-17T12:19:00.870Z,11928.00000000,AMP,0.10519,2.50941264,-1257.21573264,USD
default,1854780,AMP-USD,SELL,2021-06-17T12:19:39.238Z,2221.00000000,AMP,0.10345,0.4595249,229.3029251,USD
default,1854781,AMP-USD,SELL,2021-06-17T12:19:39.238Z,12225.00000000,AMP,0.10342,2.528619,1261.780881,USD
default,1856368,AMP-USD,BUY,2021-06-17T12:22:59.533Z,14040.00000000,AMP,0.106,2.97648,-1491.21648,USD
default,1856861,AMP-USD,SELL,2021-06-17T12:24:01.738Z,14040.00000000,AMP,0.10415,2.924532,1459.341468,USD
default,1857587,AMP-USD,BUY,2021-06-17T12:26:23.101Z,3586.00000000,AMP,0.10432,0.74818304,-374.83970304,USD
default,1857588,AMP-USD,BUY,2021-06-17T12:26:23.101Z,10375.00000000,AMP,0.10433,2.1648475,-1084.5885975,USD
default,1864055,AMP-USD,SELL,2021-06-17T12:48:22.408Z,3992.00000000,AMP,0.10848,0.86610432,432.18605568,USD
default,1864056,AMP-USD,SELL,2021-06-17T12:48:22.408Z,9969.00000000,AMP,0.10827,2.15868726,1077.18494274,USD
default,1928263,AMP-USD,BUY,2021-06-17T17:03:13.598Z,14853.00000000,AMP,0.10141,3.01248546,-1509.25521546,USD
default,1930195,AMP-USD,SELL,2021-06-17T17:09:02.396Z,12840.00000000,AMP,0.10078,2.5880304,1291.4271696,USD
default,1930196,AMP-USD,SELL,2021-06-17T17:09:02.396Z,2013.00000000,AMP,0.1007,0.4054182,202.3036818,USD
default,2118627,MLN-USD,BUY,2021-09-21T23:04:41.725Z,19.97800000,MLN,135.786,9.494564478,-2722.227272478,USD
default,2120986,MLN-USD,SELL,2021-09-21T23:16:37.616Z,4.68400000,MLN,143.686,2.355588284,670.669635716,USD
default,2120987,MLN-USD,SELL,2021-09-21T23:16:37.616Z,3.70000000,MLN,143.489,1.85818255,529.05111745,USD
default,2120988,MLN-USD,SELL,2021-09-21T23:16:37.616Z,11.59400000,MLN,143.364,5.817567756,1656.344648244,USD
default,2124116,MLN-USD,BUY,2021-09-21T23:24:25.241Z,7.26400000,MLN,162,4.118688,-1180.886688,USD
default,2124117,MLN-USD,BUY,2021-09-21T23:24:25.241Z,5.69800000,MLN,162,3.230766,-926.306766,USD
default,2124118,MLN-USD,BUY,2021-09-21T23:24:25.241Z,1.00000000,MLN,162,0.567,-162.567,USD
default,2124119,MLN-USD,BUY,2021-09-21T23:24:25.241Z,0.03800000,MLN,162.084,0.021557172,-6.180749172,USD
default,2124120,MLN-USD,BUY,2021-09-21T23:24:25.241Z,1.25000000,MLN,162.085,0.709121875,-203.315371875,USD
default,2124121,MLN-USD,BUY,2021-09-21T23:24:25.241Z,0.16200000,MLN,162.116,0.091919772,-26.354711772,USD
default,2124122,MLN-USD,BUY,2021-09-21T23:24:25.241Z,0.96300000,MLN,162.228,0.546789474,-156.772353474,USD
default,2124123,MLN-USD,BUY,2021-09-21T23:24:25.241Z,0.06300000,MLN,162.485,0.0358279425,-10.2723829425,USD
default,2124124,MLN-USD,BUY,2021-09-21T23:24:25.241Z,1.25000000,MLN,162.948,0.7128975,-204.3978975,USD
default,2124125,MLN-USD,BUY,2021-09-21T23:24:25.241Z,0.00400000,MLN,162.999,0.002281986,-0.654277986,USD
default,2125243,MLN-USD,SELL,2021-09-21T23:26:45.657Z,17.69200000,MLN,181.158,11.217665676,3193.829670324,USD
default,2179548,AMP-USD,BUY,2021-06-18T16:11:43.943Z,3709.00000000,AMP,0.0856,0.6349808,-318.1253808,USD
default,2179549,AMP-USD,BUY,2021-06-18T16:11:43.943Z,8616.00000000,AMP,0.08561,1.47523152,-739.09099152,USD
default,2179550,AMP-USD,BUY,2021-06-18T16:11:43.943Z,4388.00000000,AMP,0.08564,0.75157664,-376.53989664,USD
default,2188136,AMP-USD,SELL,2021-06-18T16:58:31.582Z,16713.00000000,AMP,0.08514,2.84588964,1420.09893036,USD
default,2542225,SOL-USD,BUY,2021-08-22T01:19:51.385Z,21.40100000,SOL,74.758,7.99947979,-1607.89543779,USD
default,2556687,RLC-USD,BUY,2021-06-03T12:39:47.938Z,129.51000000,RLC,5.39,1.74514725,-699.80404725,USD
default,2556699,RLC-USD,SELL,2021-06-03T12:40:32.511Z,129.51000000,RLC,5.373,1.739643075,694.117586925,USD
default,2565958,SOL-USD,SELL,2021-08-22T14:22:03.717Z,21.40100000,SOL,75.707,8.101027535,1612.104479465,USD
default,2644165,OGN-USD,BUY,2021-09-23T17:15:16.163Z,50.31000000,OGN,0.855,0.150552675,-43.165602675,USD
default,2644166,OGN-USD,BUY,2021-09-23T17:15:16.163Z,42.94000000,OGN,0.855,0.12849795,-36.84219795,USD
default,2644167,OGN-USD,BUY,2021-09-23T17:15:16.163Z,904.20000000,OGN,0.855,2.7058185,-775.7968185,USD
default,2644168,OGN-USD,BUY,2021-09-23T17:15:16.163Z,585.27000000,OGN,0.855,1.751420475,-502.157270475,USD
default,2644169,OGN-USD,BUY,2021-09-23T17:15:16.163Z,1754.39000000,OGN,0.855,5.250012075,-1505.253462075,USD
default,2644170,OGN-USD,BUY,2021-09-23T17:15:16.163Z,804.88000000,OGN,0.855,2.4086034,-690.5810034,USD
default,2644842,OGN-USD,SELL,2021-09-23T17:44:44.607Z,310.00000000,OGN,0.853,0.925505,263.504495,USD
default,2644843,OGN-USD,SELL,2021-09-23T17:44:44.607Z,3500.00000000,OGN,0.853,10.44925,2975.05075,USD
default,2644844,OGN-USD,SELL,2021-09-23T17:44:44.607Z,331.99000000,OGN,0.853,0.991156145,282.196313855,USD
default,3026433,AMP-USD,BUY,2021-06-23T05:10:17.041Z,3234.00000000,AMP,0.06241,0.40366788,-202.23760788,USD
default,3081998,AMP-USD,BUY,2021-06-23T16:17:26.045Z,10067.00000000,AMP,0.06116,1.23139544,-616.92911544,USD
default,3292086,AMP-USD,SELL,2021-06-25T17:38:12.345Z,13301.00000000,AMP,0.05557,1.47827314,737.65829686,USD
default,3323225,AMP-USD,BUY,2021-06-26T00:44:45.241Z,11580.00000000,AMP,0.05785,1.339806,-671.242806,USD
default,3598225,ICP-USD,BUY,2021-06-16T05:47:03.388Z,28.03280000,ICP,59.587,3.3407809072,-1673.7312345072,USD
default,3605510,ICP-USD,SELL,2021-06-16T09:16:09.706Z,10.68750000,ICP,57.85,0.618271875,617.653603125,USD
default,3605511,ICP-USD,SELL,2021-06-16T09:16:09.706Z,9.23120000,ICP,57.85,0.53402492,533.49089508,USD
default,3605512,ICP-USD,SELL,2021-06-16T09:16:09.708Z,8.11410000,ICP,57.85,0.469400685,468.931284315,USD
default,3619446,ICP-USD,BUY,2021-06-16T13:23:22.440Z,28.43970000,ICP,56.969,1.6201812693,-1621.8014505693,USD
default,3634453,ICP-USD,SELL,2021-06-16T17:19:57.552Z,27.14380000,ICP,55.191,2.9961869316,1495.0972788684,USD
default,3634454,ICP-USD,SELL,2021-06-16T17:19:57.552Z,0.00100000,ICP,55.19,0.00011038,0.05507962,USD
default,3634455,ICP-USD,SELL,2021-06-16T17:19:57.552Z,1.29490000,ICP,55.189,0.1429284722,71.3213076278,USD
default,3840163,AMP-USD,SELL,2021-07-02T04:53:30.185Z,11580.00000000,AMP,0.05588,1.2941808,645.7962192,USD
default,4308610,SKL-USD,BUY,2021-06-03T01:07:22.022Z,81.10000000,SKL,0.4235,0.085864625,-34.431714625,USD
default,4308611,SKL-USD,BUY,2021-06-03T01:07:22.022Z,916.80000000,SKL,0.4237,0.9711204,-389.4192804,USD
default,4308612,SKL-USD,BUY,2021-06-03T01:07:22.022Z,86.60000000,SKL,0.4238,0.0917527,-36.7928327,USD
default,4308613,SKL-USD,BUY,2021-06-03T01:07:22.022Z,67.00000000,SKL,0.4239,0.07100325,-28.47230325,USD
default,4308614,SKL-USD,BUY,2021-06-03T01:07:22.022Z,77.30000000,SKL,0.4241,0.081957325,-32.864887325,USD
default,4308615,SKL-USD,BUY,2021-06-03T01:07:22.022Z,54.70000000,SKL,0.4241,0.057995675,-23.256265675,USD
default,4308616,SKL-USD,BUY,2021-06-03T01:07:22.022Z,2735.40000000,SKL,0.4241,2.90020785,-1162.98334785,USD
